Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type
CHEMBL109431;;None;312.42;0;4.95;26;Nc1c2c(nc3ccccc13)CC1C=C(c3ccccc3)CC2C1;IC50;;;nM;;;Not Determined;UO_0000065;;;;;0;CHEMBL654412;"The compound was tested for inhibitory activity against Butyrylcholinesterase (BChE) from human serum; not determined";B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1132351;1;Scientific Literature;J Med Chem;1999;None;;
CHEMBL95;TACRINE;4.0;198.27;0;2.70;tacrine;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';40.0;nM;7.40;;;UO_0000065;37.31;0.67;4.70;19.01;1;CHEMBL1177573;Inhibition of human serum BChE by Ellman's reaction;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1177734;1;Scientific Literature;J Med Chem;2010;None;;
CHEMBL486698;;None;269.17;0;3.35;6-chlorotacrine.HCl;Cl.Nc1c2c(nc3cc(Cl)ccc13)CCCC2;IC50;'=';916.0;nM;6.04;;;UO_0000065;25.95;0.52;2.69;15.52;0;CHEMBL1051650;Inhibition of human serum BChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1152433;1;Scientific Literature;J Med Chem;2009;None;;
CHEMBL376914;;None;246.26;0;1.75;10;OCc1cccc(-c2cccc(CO)c2O)c1O;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL917650;Inhibition of human serum BChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1142967;1;Scientific Literature;J Med Chem;2007;None;;
CHEMBL502;DONEPEZIL;4.0;379.50;0;4.36;donepezil;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2;IC50;'=';7420.0;nM;5.13;;;UO_0000065;13.52;0.25;0.77;13.23;1;CHEMBL895408;Inhibition of human recombinant butyrylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148814;1;Scientific Literature;J Med Chem;2007;None;;
CHEMBL340867;;None;365.48;0;4.28;11 (2',6'-dimethylphenserine);Cc1cccc(C)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C;IC50;'=';290.0;nM;6.54;;;UO_0000065;17.89;0.33;2.26;14.59;0;CHEMBL654408;In vitro inhibition of human plasma butyrylcholinesterase.;B;BAO_0000366;cell-free format;None;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL308043;;None;289.38;0;2.12;33 (N-methylphycostigmine);CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C;IC50;'=';420.0;nM;6.38;;;UO_0000065;22.04;0.41;4.26;17.70;0;CHEMBL654408;In vitro inhibition of human plasma butyrylcholinesterase.;B;BAO_0000366;cell-free format;None;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL271746;;None;414.51;0;3.66;14;CC(C)(CO[N+](=O)[O-])C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2;IC50;'=';7.3;nM;8.14;;;UO_0000065;19.63;0.37;4.48;7.65;0;CHEMBL932017;Inhibition of BuChE by Ellman's assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1141589;1;Scientific Literature;J Med Chem;2008;None;;
CHEMBL283509;;None;496.56;0;3.45;(+)-Arisugacin A;COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC;IC50;'=';18000.0;nM;4.75;;;UO_0000065;9.56;0.18;1.29;4.11;0;CHEMBL1771987;Inhibition of BChE;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1770076;1;Scientific Literature;Bioorg Med Chem Lett;2011;None;;
CHEMBL397168;;None;396.37;0;4.50;11j;CC1CN(C(=O)Oc2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)CC(C)O1;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL900745;Inhibition of butyrylcholine esterase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1137574;1;Scientific Literature;J Med Chem;2007;None;;
CHEMBL1081448;;None;273.16;0;0.89;15;[Cl-].[Cl-].c1cc[n+](COC[n+]2ccccc2)cc1;IC50;'=';583000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1100709;Inhibition of human plasma BChE after 5 mins by Ellman's method;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1154957;1;Scientific Literature;Bioorg Med Chem Lett;2010;None;;
CHEMBL225198;;None;517.12;2;7.36;6;O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2;IC50;'=';0.1;nM;10.00;;;UO_0000065;19.34;0.37;2.64;14.32;0;CHEMBL914527;Inhibition of human serum BChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1139473;1;Scientific Literature;J Med Chem;2005;None;;
