Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL248757;;0;471.93;0;4.27;25;N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2;Ki;'=';3401.0;nM;5.47;;;UO_0000065;11.59;0.23;1.20;4.08;0;CHEMBL942720;Inhibition of DYRK1A;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1140564;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2007;None;
CHEMBL408982;;0;249.34;0;3.06;TG003;CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21;IC50;'=';12.0;nM;7.92;;;UO_0000065;31.77;0.64;4.86;26.81;0;CHEMBL1771956;Inhibition of Dyrk1A kinase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1770051;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL1436585;;0;349.39;0;3.47;54, NCGC00229610-10, ML196;c1nc(NCC2CCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1;Kd;'=';27.0;nM;7.57;;;UO_0000065;21.66;0.40;4.10;11.56;0;CHEMBL1772041;Binding affinity to human Dyrk1A ;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1770051;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL1396654;;0;375.45;1;5.01;38, NCGC00185964-01;Cc1ccsc1CNc1ncnc2ccc(-c3ccc4c(c3)OCO4)cc12;IC50;'=';35.0;nM;7.46;;;UO_0000065;19.86;0.38;2.45;13.25;0;CHEMBL1771957;Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1770051;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL464552;;0;532.58;1;3.40;GSK-1838705A;CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12;Kd;'=';1200.0;nM;5.92;;;UO_0000065;11.12;0.21;2.52;4.64;0;CHEMBL1908409;Binding constant for DYRK1A kinase domain;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1908390;1;Scientific Literature;Nat. Biotechnol.;2011;None;
CHEMBL300138;ENZASTAURIN;3;515.62;1;4.93;LY-317615;Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21;Kd;'=';160.0;nM;6.80;;;UO_0000065;13.18;0.24;1.87;9.42;0;CHEMBL1908409;Binding constant for DYRK1A kinase domain;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1908390;1;Scientific Literature;Nat. Biotechnol.;2011;None;
CHEMBL1645552;;0;289.34;0;4.00;3k;Cc1nccc2c1[nH]c1cc(OCc3cccnc3)ccc12;IC50;'=';10000.0;nM;5.00;;;UO_0000065;17.28;0.31;1.00;9.84;1;CHEMBL2166479;Inhibition of DYRK1A kinase using RBER-CHKtide substrate by radiometric protein kinase assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2163222;1;Scientific Literature;J. Med. Chem.;2012;None;
CHEMBL269538;HARMINE;0;212.25;0;3.03;Harmine;COc1ccc2c(c1)[nH]c1c(C)nccc12;IC50;'=';80.0;nM;7.10;;Antagonist;UO_0000065;33.44;0.61;4.07;18.72;1;CHEMBL1062880;Inhibition of DYRK1A in the presence of 50uM ATP;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1150976;1;Scientific Literature;Biochem. J.;2007;None;
CHEMBL2153266;;0;261.29;0;2.76;9;Nc1nc2c(-c3cnc4ccccc4c3)nccc2[nH]1;Kd;'=';300.0;nM;6.52;;;UO_0000065;24.96;0.45;3.76;8.10;0;CHEMBL2154888;Binding affinity to DYRK1A;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2150858;1;Scientific Literature;J. Med. Chem.;2011;None;
CHEMBL2314456;;0;342.41;0;2.12;4e;CC[C@H](CO)Nc1nc(Nc2ccncn2)c2ncn(C(C)C)c2n1;IC50;'=';3200.0;nM;5.50;;;UO_0000065;16.05;0.30;3.37;4.83;0;CHEMBL2320633;Inhibition of recombinant GST-fused human DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2311464;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
